area_type,availability,size(BHK),total_sqft,bath,balcony,price,location,price_per_sqft
Super built-up  Area,Ready To Move,2.0,1110.0,2.0,1.0,40.0,Shaniwar Peth,3603.6036036036035
Super built-up  Area,Ready To Move,2.0,1027.0,2.0,2.0,43.0,Shivaji Nagar,4186.952288218111
Super built-up  Area,18-May,3.0,1250.0,3.0,2.0,40.0,Shukrawar Peth,3200.0
Built-up  Area,Ready To Move,3.0,1470.0,3.0,0.0,62.0,Sinhagad Road,4217.687074829932
Built-up  Area,18-May,2.0,1150.0,2.0,1.0,75.0,Somwar Peth,6521.739130434783
Plot  Area,Ready To Move,3.0,1200.0,3.0,2.0,165.0,Swargate,13750.0
Super built-up  Area,18-Aug,1.0,703.0,1.0,1.0,52.0,Tilak Road,7396.870554765292
Super built-up  Area,Ready To Move,3.0,1400.0,2.0,2.0,62.0,Uruli Devachi,4428.571428571428
Super built-up  Area,Ready To Move,2.0,1195.0,2.0,2.0,51.0,Vadgaon Budruk,4267.782426778243
Super built-up  Area,Ready To Move,2.0,1302.0,2.0,1.0,69.1,Wadgaon Sheri,5307.219662058371
Super built-up  Area,19-Aug,3.0,1583.0,3.0,1.0,74.4,Viman Nagar,4699.936828806065
Super built-up  Area,Ready To Move,3.0,1488.0,2.0,3.0,60.0,Vishrant Wadi,4032.2580645161293
Plot  Area,Ready To Move,4.0,600.0,5.0,2.0,85.0,Wagholi,14166.666666666666
Super built-up  Area,18-Aug,3.0,1385.0,2.0,2.0,34.63,Wakadewadi,2500.361010830325
Super built-up  Area,Ready To Move,4.0,3262.0,4.0,2.0,260.0,Wanowrie,7970.570202329859
Built-up  Area,18-Jan,3.0,1600.0,3.0,2.0,104.0,Warje,6500.0
Super built-up  Area,Ready To Move,2.0,1150.0,2.0,1.0,90.0,Yerawada,7826.086956521739
Plot  Area,Ready To Move,9.0,4500.0,9.0,1.5845003933910307,166.0,Alandi Road,3688.8888888888887
Super built-up  Area,Ready To Move,2.0,1263.0,2.0,1.0,78.0,Ambegaon Budruk,6175.771971496437
Plot  Area,Ready To Move,7.0,1200.0,8.0,2.0,110.0,Anandnagar,9166.666666666666
Super built-up  Area,20-May,2.0,1299.0,2.0,2.0,85.0,Aundh,6543.4949961508855
Super built-up  Area,Ready To Move,2.0,1330.0,2.0,1.0,78.0,Aundh Road,5864.661654135339
Super built-up  Area,18-Apr,3.0,1282.0,2.0,2.0,52.43,Balaji Nagar,4089.703588143526
Built-up  Area,Ready To Move,3.0,1853.0,3.0,2.0,82.0,Baner,4425.256341068538
Super built-up  Area,Ready To Move,2.0,861.0,2.0,1.0,35.0,Baner road,4065.040650406504
Built-up  Area,Ready To Move,3.0,1600.0,3.0,2.0,95.0,Bhandarkar Road,5937.5
Built-up  Area,Ready To Move,2.0,1256.0,2.0,1.0,62.8,Bhavani Peth,5000.0
Super built-up  Area,Ready To Move,3.0,1390.0,2.0,2.0,80.0,Bibvewadi,5755.395683453237
Super built-up  Area,Ready To Move,3.0,1550.0,2.0,1.5845003933910307,90.0,Bopodi,5806.451612903225
Plot  Area,Ready To Move,11.0,1200.0,6.0,3.0,150.0,Budhwar Peth,12500.0
Built-up  Area,Ready To Move,2.0,919.0,2.0,1.0,49.0,Bund Garden Road,5331.882480957563
Plot  Area,18-May,3.0,1625.0,3.0,0.0,80.0,Camp,4923.076923076923
Super built-up  Area,Ready To Move,2.0,1195.0,2.0,2.0,44.0,Chandan Nagar,3682.0083682008367
Super built-up  Area,Ready To Move,6.0,2400.0,4.0,1.0,600.0,Dapodi,25000.0
Super built-up  Area,Ready To Move,2.0,1159.0,2.0,1.0,60.0,Deccan Gymkhana,5176.8766177739435
Super built-up  Area,20-Jun,3.0,1386.0,3.0,1.0,57.46,Dehu Road,4145.743145743146
Super built-up  Area,Ready To Move,2.0,1197.0,2.0,1.0,79.0,Dhankawadi,6599.832915622389
Super built-up  Area,18-Dec,4.0,2690.0,4.0,3.0,191.0,Dhayari Phata,7100.371747211896
Super built-up  Area,Ready To Move,4.0,4303.5,2.6926619356786956,1.5845003933910307,226.0,Dhole Patil Road,5251.539444638085
Super built-up  Area,18-May,3.0,1295.0,2.0,1.0,50.28,Erandwane,3882.6254826254826
Built-up  Area,18-Jul,3.0,1310.0,2.0,1.0,37.83,Fatima Nagar,2887.7862595419847
Super built-up  Area,21-Dec,2.0,1132.0,2.0,1.0,79.28,Fergusson College Road,7003.533568904593
Built-up  Area,Ready To Move,3.0,2350.0,3.0,2.0,400.0,Ganesh Peth,17021.27659574468
Plot  Area,Ready To Move,4.0,2400.0,4.0,1.5845003933910307,500.0,Ganeshkhind,20833.333333333332
Super built-up  Area,19-Dec,3.0,1645.0,3.0,2.0,135.0,Ghorpade Peth,8206.686930091186
Super built-up  Area,18-Nov,2.0,1200.0,2.0,1.0,45.84,Ghorpadi,3820.0
Plot  Area,Ready To Move,4.0,3000.0,4.0,0.0,330.0,Gokhale Nagar,11000.0
Super built-up  Area,Ready To Move,3.0,1937.0,3.0,2.0,140.0,Gultekdi,7227.671657201859
Super built-up  Area,Ready To Move,2.0,1015.0,2.0,2.0,33.5,Guruwar peth,3300.4926108374384
Super built-up  Area,Ready To Move,2.0,1080.0,2.0,2.0,39.0,Hadapsar,3611.1111111111113
Super built-up  Area,Ready To Move,3.0,1350.0,2.0,2.0,80.99,Hadapsar Industrial Estate,5999.259259259258
Super built-up  Area,18-Aug,3.0,1149.0,2.0,2.0,29.0,Hingne Khurd,2523.933855526545
Super built-up  Area,Ready To Move,2.0,1185.0,2.0,2.0,59.0,Jangali Maharaj Road,4978.9029535864975
Super built-up  Area,Ready To Move,3.0,1720.0,3.0,1.0,135.0,Kalyani Nagar,7848.837209302325
Super built-up  Area,Ready To Move,3.0,2080.0,3.0,3.0,175.0,Karve Nagar,8413.461538461539
Plot  Area,Ready To Move,3.0,1500.0,3.0,1.0,87.0,Karve Road,5800.0
Super built-up  Area,Ready To Move,3.0,1566.0,3.0,2.0,97.0,Kasba Peth,6194.125159642401
Super built-up  Area,Ready To Move,3.0,2386.0,3.0,1.5845003933910307,334.0,Katraj,13998.323554065382
Plot  Area,Ready To Move,4.0,1500.0,4.0,0.0,110.0,Khadaki,7333.333333333333
Super built-up  Area,Ready To Move,2.0,1290.0,2.0,1.0,49.02,Khadki,3800.0
Built-up  Area,20-Dec,3.0,1531.0,3.0,2.0,72.0,Kharadi,4702.808621815807
Super built-up  Area,Ready To Move,3.0,1839.0,3.0,3.0,165.0,Kondhwa,8972.26753670473
Plot  Area,Ready To Move,4.0,4200.0,4.0,1.0,760.0,Kondhwa Budruk,18095.238095238095
Super built-up  Area,18-May,3.0,1400.0,2.0,2.0,40.43,Kondhwa Khurd,2887.8571428571427
Super built-up  Area,Ready To Move,2.0,550.0,1.0,1.0,15.0,Koregaon Park,2727.2727272727275
Super built-up  Area,Ready To Move,2.0,1140.0,2.0,2.0,39.0,Kothrud,3421.0526315789475
Super built-up  Area,21-Jun,3.0,1343.5,3.0,0.0,57.76,Law College Road,4299.218459248233
Built-up  Area,Ready To Move,4.0,2000.0,4.0,0.0,100.0,Laxmi Road,5000.0
Built-up  Area,Ready To Move,2.0,1100.0,2.0,1.0,46.0,Lulla Nagar,4181.818181818182
Built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,55.0,Mahatma Gandhi Road,4583.333333333333
Super built-up  Area,18-Apr,3.0,1618.0,3.0,1.0,68.0,Mangalwar peth,4202.719406674907
Super built-up  Area,18-Oct,4.0,2830.0,5.0,2.0,160.0,Manik Bagh,5653.7102473498235
Super built-up  Area,Ready To Move,3.0,1315.0,2.0,2.0,74.0,Market yard,5627.376425855513
Super built-up  Area,Ready To Move,2.0,1141.0,2.0,1.0,42.75,Model colony,3746.7134092900965
Super built-up  Area,Ready To Move,2.0,1080.0,2.0,2.0,55.0,Mukund Nagar,5092.592592592592
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,60.0,Mundhawa,5000.0
Super built-up  Area,Ready To Move,2.0,1111.0,2.0,2.0,41.88,Nagar Road,3769.57695769577
Super built-up  Area,Ready To Move,2.0,1022.0,2.0,1.0,45.9,Nana Peth,4491.19373776908
Super built-up  Area,Ready To Move,2.0,1275.0,2.0,2.0,65.0,Narayan Peth,5098.0392156862745
Super built-up  Area,Ready To Move,2.0,900.0,2.0,1.0,70.0,Narayangaon,7777.777777777777
Super built-up  Area,Ready To Move,2.0,1224.0,2.0,3.0,39.2,Navi Peth,3202.614379084968
Super built-up  Area,Ready To Move,2.0,1135.0,2.0,3.0,43.0,Padmavati,3788.546255506608
Super built-up  Area,Ready To Move,2.0,1050.0,2.0,2.0,52.1,Parvati Darshan,4961.9047619047615
Super built-up  Area,Ready To Move,3.0,1535.0,3.0,2.0,86.0,Pashan,5602.605863192182
Super built-up  Area,17-Nov,2.0,1392.0,2.0,1.0,130.0,Paud Road,9339.080459770115
Super built-up  Area,Ready To Move,2.0,1050.0,2.0,2.0,72.0,Pirangut,6857.142857142857
Super built-up  Area,19-Jun,3.0,1513.0,3.0,1.0,103.0,Prabhat Road,6807.666886979511
Super built-up  Area,Ready To Move,3.0,1621.0,3.0,3.0,72.0,Pune Railway Station,4441.702652683529
Super built-up  Area,Ready To Move,2.0,892.0,2.0,1.0,39.0,Rasta Peth,4372.197309417041
Super built-up  Area,Ready To Move,2.0,1205.0,2.0,1.0,40.0,Raviwar Peth,3319.5020746887967
Super built-up  Area,18-Dec,3.0,1355.0,3.0,2.0,83.87,Sadashiv Peth,6189.667896678967
Plot  Area,Ready To Move,5.0,1250.0,5.0,1.5845003933910307,300.0,Sahakar Nagar,24000.0
Plot  Area,Ready To Move,7.0,1650.0,9.0,1.5845003933910307,345.0,Salunke Vihar,20909.090909090908
Super built-up  Area,Ready To Move,4.0,1200.0,6.0,3.0,70.0,Sasson Road,5833.333333333333
Super built-up  Area,Ready To Move,2.0,1400.0,2.0,2.0,168.0,Satara Road,12000.0
Super built-up  Area,18-Nov,2.0,726.0,2.0,1.0,35.0,Senapati Bapat Road,4820.936639118458
Plot  Area,Ready To Move,3.0,1500.0,3.0,2.0,149.0,Shaniwar Peth,9933.333333333334
Super built-up  Area,Ready To Move,4.0,3895.0,4.0,2.0,405.0,Shivaji Nagar,10397.946084724004
Super built-up  Area,18-Dec,2.0,1079.0,2.0,2.0,41.0,Shukrawar Peth,3799.8146431881373
Super built-up  Area,Ready To Move,2.0,1170.0,2.0,2.0,46.0,Sinhagad Road,3931.6239316239316
Super built-up  Area,Ready To Move,2.0,1104.0,2.0,2.0,39.0,Somwar Peth,3532.608695652174
Super built-up  Area,Ready To Move,2.0,950.0,2.0,1.0,45.0,Swargate,4736.8421052631575
Built-up  Area,Ready To Move,4.0,4818.0,4.0,3.0,390.0,Tilak Road,8094.64508094645
Built-up  Area,Ready To Move,3.0,1650.0,2.0,1.0,52.0,Uruli Devachi,3151.5151515151515
Super built-up  Area,21-May,3.0,1559.0,3.0,2.0,127.0,Vadgaon Budruk,8146.247594611931
Built-up  Area,Ready To Move,2.0,1100.0,2.0,1.0,38.0,Wadgaon Sheri,3454.5454545454545
Super built-up  Area,Ready To Move,3.0,1750.0,3.0,3.0,150.0,Viman Nagar,8571.42857142857
Super built-up  Area,18-Jul,2.0,1215.0,2.0,1.0,45.5,Vishrant Wadi,3744.855967078189
Super built-up  Area,21-Feb,3.0,1868.0,3.0,1.0,135.0,Wagholi,7226.980728051391
Built-up  Area,18-Dec,2.0,1130.0,2.0,1.0,32.63,Wakadewadi,2887.610619469027
Super built-up  Area,Ready To Move,3.0,1570.0,3.0,3.0,64.5,Wanowrie,4108.28025477707
Super built-up  Area,Ready To Move,3.0,1691.0,3.0,1.0,98.0,Warje,5795.38734476641
Built-up  Area,Ready To Move,5.0,4355.0,3.0,1.0,350.0,Yerawada,8036.739380022962
Super built-up  Area,17-Oct,2.0,1225.0,2.0,2.0,55.0,Alandi Road,4489.7959183673465
Super built-up  Area,Ready To Move,3.0,1690.0,3.0,2.0,112.0,Ambegaon Budruk,6627.218934911242
Super built-up  Area,Ready To Move,2.0,1418.0,2.0,2.0,103.0,Anandnagar,7263.7517630465445
Super built-up  Area,Ready To Move,4.0,1896.0,3.0,1.0,125.0,Aundh,6592.827004219409
Super built-up  Area,17-Sep,1.0,605.0,1.0,1.0,40.0,Aundh Road,6611.570247933884
Plot  Area,Ready To Move,5.0,800.0,5.0,2.0,95.0,Balaji Nagar,11875.0
Super built-up  Area,Ready To Move,2.0,900.0,2.0,2.0,32.5,Baner,3611.1111111111113
Plot  Area,Ready To Move,1.0,750.0,2.0,0.0,50.0,Baner road,6666.666666666667
Plot  Area,Ready To Move,3.0,780.0,3.0,1.0,62.0,Bhandarkar Road,7948.717948717948
Super built-up  Area,Ready To Move,2.0,908.0,2.0,1.0,26.0,Bhavani Peth,2863.4361233480176
Built-up  Area,18-May,4.0,3416.5,6.0,0.0,143.0,Bibvewadi,4185.570027806234
Super built-up  Area,Ready To Move,4.0,3216.0,4.0,1.0,226.0,Bopodi,7027.363184079602
Plot  Area,Ready To Move,5.0,2400.0,4.0,1.0,225.0,Budhwar Peth,9375.0
Built-up  Area,Ready To Move,2.0,1400.0,2.0,2.0,68.0,Bund Garden Road,4857.142857142857
Super built-up  Area,Ready To Move,2.0,1092.0,2.0,2.0,44.0,Camp,4029.3040293040294
Super built-up  Area,Ready To Move,2.0,1255.0,2.0,2.0,74.0,Chandan Nagar,5896.414342629482
Built-up  Area,Ready To Move,3.0,1500.0,2.0,1.0,100.0,Dapodi,6666.666666666667
Super built-up  Area,18-Feb,2.0,1296.0,2.0,2.0,72.0,Deccan Gymkhana,5555.555555555556
Super built-up  Area,Ready To Move,2.0,925.0,2.0,3.0,38.0,Dehu Road,4108.108108108108
Built-up  Area,Ready To Move,2.0,1023.0,2.0,2.0,42.0,Dhankawadi,4105.571847507332
Built-up  Area,Ready To Move,2.0,600.0,3.0,2.0,75.0,Dhayari Phata,12500.0
Super built-up  Area,18-May,2.0,1020.0,2.0,1.0,44.5,Dhole Patil Road,4362.745098039216
Super built-up  Area,17-Jul,3.0,1530.0,3.0,2.0,77.0,Erandwane,5032.679738562091
Super built-up  Area,Ready To Move,3.0,1650.0,3.0,2.0,71.0,Fatima Nagar,4303.030303030303
Built-up  Area,Ready To Move,3.0,1605.0,2.0,3.0,85.0,Fergusson College Road,5295.95015576324
Super built-up  Area,Ready To Move,2.0,1925.0,2.0,1.0,50.0,Ganesh Peth,2597.4025974025976
Super built-up  Area,Ready To Move,2.0,1190.0,2.0,2.0,50.66,Ganeshkhind,4257.142857142857
Super built-up  Area,Ready To Move,3.0,1374.0,3.0,2.0,68.0,Ghorpade Peth,4949.0538573508
Built-up  Area,Ready To Move,2.0,1140.0,2.0,2.0,65.0,Ghorpadi,5701.754385964912
Super built-up  Area,Ready To Move,3.0,1725.0,3.0,2.0,130.0,Gokhale Nagar,7536.231884057971
Super built-up  Area,Ready To Move,3.0,1075.0,2.0,1.0,50.0,Gultekdi,4651.162790697675
Super built-up  Area,Ready To Move,3.0,1574.0,3.0,1.0,93.34,Guruwar peth,5930.114358322745
Built-up  Area,Ready To Move,1.0,965.0,1.0,1.0,32.0,Hadapsar,3316.062176165803
Super built-up  Area,Ready To Move,3.0,1550.0,3.0,2.0,83.0,Hadapsar Industrial Estate,5354.8387096774195
Super built-up  Area,Ready To Move,2.0,1205.0,2.0,2.0,60.0,Hingne Khurd,4979.253112033195
Super built-up  Area,Ready To Move,3.0,1082.0,2.0,1.0,55.0,Jangali Maharaj Road,5083.179297597043
Super built-up  Area,Ready To Move,3.0,1215.0,2.0,2.0,52.85,Kalyani Nagar,4349.794238683127
Super built-up  Area,Ready To Move,4.0,2483.0,5.0,2.0,230.0,Karve Nagar,9262.988320579943
Plot  Area,18-Jul,2.0,1200.0,3.0,1.0,46.14,Karve Road,3845.0
Super built-up  Area,Ready To Move,1.0,1500.0,1.0,1.0,19.5,Kasba Peth,1300.0
Plot  Area,18-May,4.0,2360.0,4.0,2.0,600.0,Katraj,25423.728813559323
Super built-up  Area,Ready To Move,4.0,3198.0,4.0,1.5845003933910307,250.0,Khadaki,7817.385866166354
Super built-up  Area,Ready To Move,3.0,1452.0,3.0,3.0,60.98,Khadki,4199.724517906336
Super built-up  Area,18-Apr,3.0,1329.0,2.0,2.0,41.0,Kharadi,3085.0263355906695
Super built-up  Area,Ready To Move,2.0,1125.0,2.0,1.0,44.0,Kondhwa,3911.1111111111113
Plot  Area,Ready To Move,2.0,1200.0,2.0,0.0,70.0,Kondhwa Budruk,5833.333333333333
Built-up  Area,Ready To Move,3.0,1350.0,3.0,3.0,39.97,Kondhwa Khurd,2960.740740740741
Super built-up  Area,Ready To Move,3.0,1312.5,3.0,0.0,51.19,Koregaon Park,3900.190476190476
Super built-up  Area,19-Oct,3.0,2600.0,3.0,2.0,195.0,Kothrud,7500.0
Plot  Area,Ready To Move,2.0,1200.0,2.0,1.0,160.0,Law College Road,13333.333333333334
Built-up  Area,18-Dec,3.0,1220.0,3.0,1.0,35.23,Laxmi Road,2887.7049180327863
Super built-up  Area,Ready To Move,2.0,1255.0,2.0,1.0,80.0,Lulla Nagar,6374.501992031873
Super built-up  Area,Ready To Move,3.0,1904.0,3.0,3.0,155.0,Mahatma Gandhi Road,8140.756302521008
Super built-up  Area,Ready To Move,2.0,1329.0,2.0,2.0,70.0,Mangalwar peth,5267.11813393529
Plot  Area,Ready To Move,2.0,1200.0,2.0,1.0,60.0,Manik Bagh,5000.0
Super built-up  Area,Ready To Move,3.0,2135.0,3.0,2.0,160.0,Market yard,7494.145199063232
Super built-up  Area,Ready To Move,3.0,2770.0,4.0,3.0,315.0,Model colony,11371.841155234657
Built-up  Area,19-Dec,1.0,813.0,1.0,1.0,39.0,Mukund Nagar,4797.047970479704
Plot  Area,Ready To Move,4.0,3884.0,4.0,3.0,240.0,Mundhawa,6179.196704428425
Plot  Area,Ready To Move,3.0,3876.0,3.0,1.0,300.0,Nagar Road,7739.938080495356
Super built-up  Area,Ready To Move,2.0,800.0,2.0,2.0,30.0,Nana Peth,3750.0
Plot  Area,Ready To Move,4.0,4750.0,2.0,1.0,120.0,Narayan Peth,2526.315789473684
Super built-up  Area,Ready To Move,3.0,1500.0,3.0,3.0,70.0,Narayangaon,4666.666666666667
Super built-up  Area,Ready To Move,3.0,1880.0,3.0,2.0,95.0,Navi Peth,5053.191489361702
Super built-up  Area,Ready To Move,3.0,1440.0,2.0,2.0,55.0,Padmavati,3819.4444444444443
Super built-up  Area,Ready To Move,3.0,1575.0,3.0,1.5845003933910307,90.0,Parvati Darshan,5714.285714285715
Super built-up  Area,Ready To Move,3.0,1630.0,2.0,2.0,97.78,Pashan,5998.773006134969
Super built-up  Area,Ready To Move,3.0,1180.0,3.0,1.0,55.0,Paud Road,4661.016949152542
Built-up  Area,Ready To Move,2.0,1090.0,2.0,1.0,36.0,Pirangut,3302.7522935779816
Super built-up  Area,Ready To Move,2.0,1020.0,2.0,2.0,48.45,Prabhat Road,4750.0
Built-up  Area,Ready To Move,4.0,2425.0,4.0,3.0,173.0,Pune Railway Station,7134.020618556701
Super built-up  Area,18-Mar,2.0,1097.0,2.0,1.0,33.82,Rasta Peth,3082.9535095715587
Super built-up  Area,Ready To Move,2.0,1070.0,2.0,1.0,50.0,Raviwar Peth,4672.897196261682
Super built-up  Area,Ready To Move,2.0,1000.0,2.0,1.0,58.0,Sadashiv Peth,5800.0
Plot  Area,Ready To Move,8.0,1120.0,8.0,1.5845003933910307,150.0,Sahakar Nagar,13392.857142857143
Super built-up  Area,18-Apr,2.0,1150.0,2.0,1.0,56.0,Salunke Vihar,4869.565217391304
Built-up  Area,Ready To Move,3.0,1900.0,4.0,2.0,145.0,Sasson Road,7631.578947368421
Super built-up  Area,Ready To Move,2.0,1141.0,2.0,2.0,49.0,Satara Road,4294.478527607362
Built-up  Area,Ready To Move,2.0,937.0,2.0,1.0,44.0,Senapati Bapat Road,4695.837780149413
Built-up  Area,Ready To Move,2.0,1075.0,2.0,1.0,60.0,Shaniwar Peth,5581.395348837209
Super built-up  Area,18-Feb,2.0,1000.0,2.0,1.0,65.3,Shivaji Nagar,6530.0
Super built-up  Area,Ready To Move,3.0,1450.0,3.0,1.5845003933910307,77.41,Shukrawar Peth,5338.620689655172
Plot  Area,Ready To Move,5.0,897.0,2.0,1.0,85.0,Sinhagad Road,9476.03121516165
Super built-up  Area,Ready To Move,2.0,936.0,2.0,2.0,43.0,Somwar Peth,4594.017094017094
Built-up  Area,Ready To Move,2.0,1280.0,2.0,1.0,75.0,Swargate,5859.375
Super built-up  Area,Ready To Move,2.0,1050.0,2.0,3.0,45.0,Tilak Road,4285.714285714285
Super built-up  Area,Ready To Move,2.0,1350.0,2.0,1.0,86.0,Uruli Devachi,6370.37037037037
Super built-up  Area,Ready To Move,2.0,1325.0,2.0,1.0,70.0,Vadgaon Budruk,5283.018867924528
Super built-up  Area,18-Apr,2.0,1174.0,2.0,1.0,59.0,Wadgaon Sheri,5025.553662691653
Super built-up  Area,Ready To Move,3.0,1890.0,3.0,2.0,162.0,Viman Nagar,8571.42857142857
Super built-up  Area,Ready To Move,1.0,735.0,1.0,1.0,75.0,Vishrant Wadi,10204.081632653062
Built-up  Area,Ready To Move,1.0,500.0,1.0,0.0,24.0,Wagholi,4800.0
Super built-up  Area,Ready To Move,3.0,1304.0,3.0,3.0,80.0,Wakadewadi,6134.9693251533745
Built-up  Area,Ready To Move,3.0,1653.0,3.0,2.0,120.0,Wanowrie,7259.528130671506
Super built-up  Area,Ready To Move,3.0,1075.0,2.0,1.0,52.0,Warje,4837.209302325581
Super built-up  Area,Ready To Move,2.0,1212.0,3.0,1.0,42.0,Yerawada,3465.3465346534654
Built-up  Area,Ready To Move,2.0,1100.0,2.0,1.0,50.0,Alandi Road,4545.454545454545
Super built-up  Area,Ready To Move,4.0,3436.0,6.0,3.0,500.0,Ambegaon Budruk,14551.804423748545
Plot  Area,Ready To Move,3.0,1200.0,4.0,0.0,145.0,Anandnagar,12083.333333333334
Super built-up  Area,Ready To Move,2.0,1140.0,2.0,2.0,50.0,Aundh,4385.964912280701
Plot  Area,Ready To Move,2.0,1200.0,2.0,1.0,100.0,Aundh Road,8333.333333333334
Super built-up  Area,Ready To Move,3.0,1532.0,3.0,2.0,83.0,Balaji Nagar,5417.754569190601
Plot  Area,Ready To Move,3.0,2776.0,4.0,2.0,195.0,Baner,7024.495677233429
Super built-up  Area,Ready To Move,3.0,1531.0,2.0,0.0,75.0,Baner road,4898.758981058132
Super built-up  Area,Ready To Move,3.0,1270.0,2.0,2.0,50.79,Bhandarkar Road,3999.212598425197
Super built-up  Area,18-Dec,2.0,1325.0,2.0,1.0,53.0,Bhavani Peth,4000.0
Plot  Area,Ready To Move,3.0,1200.0,3.0,1.0,160.0,Bibvewadi,13333.333333333334
Super built-up  Area,17-Apr,3.0,1156.0,2.0,2.0,44.0,Bopodi,3806.2283737024222
Plot  Area,Ready To Move,4.0,2000.0,4.0,2.0,320.0,Budhwar Peth,16000.0
Super built-up  Area,Ready To Move,2.0,1260.0,2.0,2.0,70.0,Bund Garden Road,5555.555555555556
Super built-up  Area,Ready To Move,2.0,1934.0,2.0,0.0,90.0,Camp,4653.567735263702
Super built-up  Area,Ready To Move,2.0,1060.0,2.0,1.0,40.0,Chandan Nagar,3773.5849056603774
Super built-up  Area,Ready To Move,3.0,1476.0,3.0,1.0,95.0,Dapodi,6436.314363143631
Super built-up  Area,Ready To Move,2.0,1185.0,2.0,1.0,85.0,Deccan Gymkhana,7172.995780590717
Super built-up  Area,Ready To Move,3.0,1265.0,2.0,1.0,82.0,Dehu Road,6482.213438735178
Built-up  Area,18-May,4.0,3200.0,5.0,1.0,150.0,Dhankawadi,4687.5
Super built-up  Area,Ready To Move,2.0,1196.0,2.0,2.0,56.81,Dhayari Phata,4750.0
Built-up  Area,Ready To Move,2.0,1280.0,2.0,1.0,69.0,Dhole Patil Road,5390.625
Plot  Area,Ready To Move,4.0,800.0,4.0,2.0,86.0,Erandwane,10750.0
Built-up  Area,Ready To Move,2.0,1175.0,2.0,1.5845003933910307,45.0,Fatima Nagar,3829.7872340425533
Built-up  Area,Ready To Move,3.0,1850.0,3.0,3.0,98.0,Fergusson College Road,5297.2972972972975
Plot  Area,Ready To Move,4.0,2400.0,4.0,2.0,525.0,Ganesh Peth,21875.0
Super built-up  Area,Ready To Move,2.0,1195.0,2.0,1.0,70.0,Ganeshkhind,5857.740585774059
Super built-up  Area,Ready To Move,3.0,2000.0,3.0,3.0,185.0,Ghorpade Peth,9250.0
Carpet  Area,Ready To Move,7.0,600.0,4.0,0.0,100.0,Ghorpadi,16666.666666666668
Plot  Area,18-Feb,4.0,800.0,5.0,3.0,155.0,Gokhale Nagar,19375.0
Super built-up  Area,Ready To Move,2.0,1180.0,2.0,2.0,36.5,Gultekdi,3093.2203389830506
Super built-up  Area,Ready To Move,2.0,1050.0,2.0,1.0,49.87,Guruwar peth,4749.523809523809
Built-up  Area,18-Dec,3.0,1400.0,2.0,1.0,40.44,Hadapsar,2888.5714285714284
Plot  Area,17-Dec,4.0,2360.0,4.0,2.0,150.0,Hadapsar Industrial Estate,6355.932203389831
Super built-up  Area,Ready To Move,2.0,1030.0,2.0,1.0,77.25,Hingne Khurd,7500.0
Super built-up  Area,Ready To Move,2.0,1512.0,1.0,2.0,65.01,Jangali Maharaj Road,4299.603174603175
Built-up  Area,Ready To Move,2.0,929.0,2.0,1.0,48.0,Kalyani Nagar,5166.846071044133
Super built-up  Area,Ready To Move,3.0,1252.0,3.0,3.0,61.0,Karve Nagar,4872.20447284345
Built-up  Area,Ready To Move,3.0,1485.0,3.0,2.0,115.0,Karve Road,7744.107744107744
Super built-up  Area,Ready To Move,3.0,1124.0,2.0,2.0,55.0,Kasba Peth,4893.238434163701
Plot  Area,Ready To Move,6.0,2400.0,6.0,3.0,370.0,Katraj,15416.666666666666
Built-up  Area,Ready To Move,3.0,1407.0,3.0,1.0,120.0,Khadaki,8528.784648187633
Super built-up  Area,19-Mar,3.0,1482.0,2.0,3.0,97.0,Khadki,6545.209176788124
Super built-up  Area,Ready To Move,2.0,1163.0,2.0,1.0,98.86,Kharadi,8500.42992261393
Super built-up  Area,Ready To Move,3.0,1570.0,3.0,2.0,140.0,Kondhwa,8917.197452229299
Super built-up  Area,18-Feb,3.0,3480.0,4.0,1.5845003933910307,284.0,Kondhwa Budruk,8160.919540229885
Super built-up  Area,19-Sep,1.0,520.0,1.0,1.0,14.04,Kondhwa Khurd,2700.0
Super built-up  Area,Ready To Move,3.0,2000.0,3.0,2.0,160.0,Koregaon Park,8000.0
Super built-up  Area,Ready To Move,2.0,1352.0,2.0,2.0,75.0,Kothrud,5547.337278106509
Super built-up  Area,18-Apr,2.0,1152.0,2.0,1.0,65.0,Law College Road,5642.361111111111
Built-up  Area,20-Dec,3.0,1575.0,3.0,2.0,93.0,Laxmi Road,5904.761904761905
Super built-up  Area,Ready To Move,3.0,1965.0,4.0,2.0,125.0,Lulla Nagar,6361.323155216285
Built-up  Area,Ready To Move,3.0,1300.0,2.0,2.0,70.0,Mahatma Gandhi Road,5384.615384615385
Plot  Area,Ready To Move,4.0,1.0,4.0,1.5845003933910307,120.0,Mangalwar peth,12000000.0
Super built-up  Area,18-Apr,2.0,957.0,2.0,1.0,47.0,Manik Bagh,4911.180773249739
Super built-up  Area,Ready To Move,3.0,1740.0,3.0,3.0,60.0,Market yard,3448.2758620689656
Plot  Area,Ready To Move,5.0,1080.0,6.0,3.0,65.0,Model colony,6018.518518518518
Super built-up  Area,Ready To Move,2.0,1060.0,2.0,0.0,35.0,Mukund Nagar,3301.8867924528304
Carpet  Area,Ready To Move,2.0,975.0,2.0,2.0,50.0,Mundhawa,5128.205128205128
